Asset,Close Price,Average trades per day,Average Time held (minutes),Strike Rate %,Average Profit per trade %,Maximum Drawdown %,Final Net Return %,Days Traded,Buy and Hold return %
CODI,18.72,0.537848606,207.1481481,45.18518519,0.00829223,15.70267273,0.197266024,251,-36
PD,23.4,0.577689243,202.1862069,51.72413793,0.023003855,25.80107418,-0.194913902,251,-44.13941275
FLWS,6.38,0.346613546,199.5057471,50.57471264,0.018001515,18.00720798,-0.584806556,251,-78.07560137
WRBY,14.06,0.346613546,192.3103448,48.27586207,-0.009381328,27.26888965,-4.52861918,251,-75.58179924
INMD,32.34,0.474103586,187.7647059,57.98319328,-0.011496614,31.53425509,-4.610284322,251,-62.04670813
CERE,26.23,0.426294821,194.0093458,50.46728972,-0.050316342,17.94536296,-7.588138,251,-34.425
HTZ,17.9,0.554166667,213.4586466,46.61654135,-0.062665506,21.58621455,-10.67468717,240,-31.80952381
ARCT,14.71,0.35059761,221.9659091,51.13636364,-0.071965289,30.79994317,-10.82663242,251,-66.66666667
EXFY,13,0.364016736,225.4597701,48.27586207,-0.183704428,31.57039513,-18.75667403,239,-67.29559748
TASK,19.87,0.322709163,207.7037037,48.14814815,-0.40962294,46.57044152,-31.6592991,251,-66.75033467
